ITEM NAME,QUANTITY,VENDOR,MONTH,YEAR,CATEGORY
3.5MM LCP CLAVICLE PLATE (LEFT DIDE )TITANIUM,1,SHREE MITHRA SURGICALS,March,2025,Ortho
3.5MM LOCKING SCREWS  TITANIUM,2,SHREE MITHRA SURGICALS,March,2025,Ortho
3.5MM LOCKING SCREWS TITANIUM,3,SHREE MITHRA SURGICALS,March,2025,Ortho
4.5MM NARROW DCP PLATE,1,SHREE MITHRA SURGICALS,March,2025,Ortho
4.9MM INTERLOCKING BOLTS 40MM TITANIUM,2,SHREE MITHRA SURGICALS,March,2025,Ortho
4.9MM INTERLOCKING BOLTS TITANIUM 36MM,2,SHREE MITHRA SURGICALS,March,2025,Ortho
AB PHYLLINE SR 200 MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ADNEON 2ML INJ,5,HEALTH PHARMA,March,2025,Pharmaceuticals
ADULT DIPERS LARGE,120,R&R SURGICALS,March,2025,Miscellaneous
ADULT DIPERS-XL,120,R&R SURGICALS,March,2025,Miscellaneous
ADVA GLIDE PTCA BALLOON 1.5*12,1,DVK SURGICALS,March,2025,Cardiology
AKAVICEF2.5 INJ (CEFT+AVI),60,HEALTH PHARMA,March,2025,Pharmaceuticals
AKT 3,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
AKT-4.KIT.TAB,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
AKURIT-4 TABS,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ALBUREL 20% (RELIANCE),8,SUMAN SPECIALTIES,March,2025,Pharmaceuticals
ALDACTONE- 25MG,165,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ALLEVYN SACRUM 17.5 * 17.5,5,R&R SURGICALS,March,2025,Wound Care
ALLEVYN SACRUM 23CM*23CH HEEL,5,R&R SURGICALS,March,2025,Wound Care
ALLEVYN SACRUM12.5CM*12.5CM,1,R&R SURGICALS,March,2025,Wound Care
ALLSTAR INSULIN PEN,1,APOLLO PHARMACY,March,2025,Pharmaceuticals
ALTAVERIN-MEF TAB,500,V K MEDICALS,March,2025,Pharmaceuticals
AMLOKIND -AT,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ANOBLISS 30G CRE,7.5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Dermatology
APRON  PLASTIC,30,R&R SURGICALS,March,2025,General/Consumables
ARACHITOL NANO LIQUID(5ML),32,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ARTACIL 25MG INJ,115,HEALTH PHARMA,March,2025,Pharmaceuticals
ASCORX  1.5 GM INJ,9,HEALTH PHARMA,March,2025,Pharmaceuticals
ASEPTO PUMP,10,R&R SURGICALS,March,2025,General/Consumables
ATCHOL 40MG,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
AVIL 2 ML INJ,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
AZTRONE 1000MG INJ,10,HEALTH PHARMA,March,2025,Pharmaceuticals
"BANDAGE 4""",100,R&R SURGICALS,March,2025,Wound Care
"BANDAGES 6""",100,R&R SURGICALS,March,2025,Wound Care
BEPLEX FORTE TAB,180,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
BIPOLAR (FENESTRATED),1,SHREE MITHRA SURGICALS,March,2025,Ortho
BIPOLAR (NON FENESTRATED0,1,SHREE MITHRA SURGICALS,March,2025,Ortho
BLUEPERC 7NO,1,SRIANJANEYA HEALTH CARE,March,2025,Miscellaneous
BLUEPERC 8NO TRACHEOSTOMY TUBE,2,SRIANJANEYA HEALTH CARE,March,2025,Respiratory
BONE CEMENT,2,SHREE MITHRA SURGICALS,March,2025,Ortho
BOTROPHASE AMP,5,PHARMA PLUS DISTRIBUTOR PRIVATE LIMITED,March,2025,Pharmaceuticals
BUDENAZ 0.5MG RESPULS,200,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
BUFFET CAPS (F),600,R&R SURGICALS,March,2025,Pharmaceuticals
BUFFET CAPS (M),400,R&R SURGICALS,March,2025,Pharmaceuticals
BUTTON FIX,1,SHREE MITHRA SURGICALS,March,2025,Miscellaneous
CALCEL -D3,1500,V K MEDICALS,March,2025,Miscellaneous
CANDID CREAM,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Dermatology
CARDIVAS 3.125MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
C-ARM COVER,8,R&R SURGICALS,March,2025,Radiology
CARNISURE INJ 1GRM,15,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CARNISURE--500 MG TAB,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CELFIX 200MG,1000,V K MEDICALS,March,2025,Pharmaceuticals
CEROLIFE 60MG INJ,20,HEALTH PHARMA,March,2025,Pharmaceuticals
CHEST DRAIN CATHETER 16G ROMSONS,5,R&R SURGICALS,March,2025,Surgical
CHYMOCEL-FORTE TAB,1000,V K MEDICALS,March,2025,Pharmaceuticals
CHYMORAL FORTE TAB,520,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CINOD 20MG TAB,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CINTAPRO OD TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CINTODAC CAPSULES,30,APOLLO PHARMACY,March,2025,Pharmaceuticals
CITAL UTI SYRUP,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CLINCEL 300INJ,720,V K MEDICALS,March,2025,Pharmaceuticals
CLONOTRIL 0.25MG TAB,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CLONOTRIL 0.5MG TAB,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
CLOSED SUCTION CATH 14FR (POLYMED),5,HEALTH PHARMA,March,2025,Radiology
COLIMISTA 2MIU,19,HEALTH PHARMA,March,2025,Pharmaceuticals
COTTON 500 GM,10,R&R SURGICALS,March,2025,General/Consumables
CREMA GEL,3,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Dermatology
CREMAFFIN PLUS SYRUP 200 ML,4,SUMAN AGENCIES HYD PRIVATE LIMITED,March,2025,Pharmaceuticals
CUTAPREP PV 5%100ML,15,HEALTH PHARMA,March,2025,Pharmaceuticals
CUTAPREP PV 5%100ML(SOLUTION),10,HEALTH PHARMA,March,2025,Pharmaceuticals
CUTAPREP PVP 5% 500 ML,8,HEALTH PHARMA,March,2025,Pharmaceuticals
CUTAPREP PVP 5% 500 ML(SOLUTION),5,HEALTH PHARMA,March,2025,Pharmaceuticals
